set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set9;1;20;10;5;8;17792;15688;1974;130;20;13;102;15593;42000;94;159;1880;
set9;2;20;10;5;8;21368;13879;7329;160;20;16;102;16515;42000;349;49;1711;
set9;3;20;10;5;8;17582;15256;2226;100;20;10;102;15676;42000;106;252;1849;
set9;4;20;10;5;8;18511;15913;2478;120;20;12;102;16474;42000;118;275;1927;
set9;5;20;10;5;8;17230;15334;1806;90;20;9;102;15232;42000;86;298;1853;
set9;6;20;10;5;8;15236;14788;378;70;20;7;102;14484;42000;18;591;1828;
set9;7;20;10;5;8;16857;14501;2226;130;20;13;102;14919;42000;106;205;1823;
set9;8;20;10;5;8;15318;14838;420;60;20;6;102;14552;42000;20;440;1858;
set9;9;20;10;5;8;16377;15132;1155;90;20;9;102;14756;42000;55;195;1815;
set9;10;20;10;5;8;15611;15026;525;60;20;6;102;14849;42000;25;564;1847;
set9;11;20;10;5;8;15696;15185;441;70;20;7;102;14806;42000;21;534;1897;
set9;12;20;10;5;8;16368;15227;1071;70;20;7;102;15475;42000;51;390;1859;
set9;13;20;10;5;8;19395;12799;6426;170;20;17;102;16178;42000;306;63;1699;
set9;14;20;10;5;8;16527;15335;1092;100;20;10;102;14940;42000;52;282;1881;
set9;15;20;10;5;8;14974;14169;735;70;20;7;102;13926;42000;35;522;1762;
set9;16;20;10;5;8;18647;15807;2730;110;20;11;102;16015;42000;130;147;1865;
set9;17;20;10;5;8;15775;14635;1050;90;20;9;102;14446;42000;50;355;1812;
set9;18;20;10;5;8;16228;15183;945;100;20;10;102;14884;42000;45;283;1839;
set9;19;20;10;5;8;17866;15236;2520;110;20;11;102;15352;42000;120;243;1836;
set9;20;20;10;5;8;15249;14968;231;50;20;5;102;14720;42000;11;523;1903;
