set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set20;1;70;50;20;8;15519;15448;21;50;20;1;102;15389;42000;1;663;1924;
set20;2;70;50;20;8;15604;15420;84;100;20;2;102;15439;42000;4;686;1920;
set20;3;70;50;20;8;15340;15177;63;100;20;2;102;15113;42000;3;645;1922;
set20;4;70;50;20;8;14580;14580;0;0;20;0;1;14570;42000;0;1002;1864;
set20;5;70;50;20;8;15238;14928;210;100;20;2;102;14992;42000;10;592;1897;
set20;6;70;50;20;8;16215;16068;147;0;20;0;102;16069;42000;7;579;1989;
set20;7;70;50;20;8;14685;14559;126;0;20;0;102;14609;42000;6;586;1859;
set20;8;70;50;20;8;15359;15125;84;150;20;3;102;15080;42000;4;584;1897;
set20;9;70;50;20;8;14736;14573;63;100;20;2;102;14532;42000;3;515;1884;
set20;10;70;50;20;8;16685;16417;168;100;20;2;102;16422;42000;8;340;2028;
set20;11;70;50;20;8;16434;16300;84;50;20;1;102;16303;42000;4;750;2029;
set20;12;70;50;20;8;16470;16034;336;100;20;2;102;16201;42000;16;502;1993;
set20;13;70;50;20;8;15822;15483;189;150;20;3;102;15545;42000;9;560;1917;
set20;14;70;50;20;8;15919;15567;252;100;20;2;102;15694;42000;12;900;1944;
set20;15;70;50;20;8;15953;15635;168;150;20;3;102;15649;42000;8;592;1953;
set20;16;70;50;20;8;16761;16354;357;50;20;1;11;16537;42000;17;252;2032;
set20;17;70;50;20;8;14396;14354;42;0;20;0;1;14363;42000;2;797;1831;
set20;18;70;50;20;8;16852;16668;84;100;20;2;102;16651;42000;4;810;2030;
set20;19;70;50;20;8;13846;13741;105;0;20;0;1;13816;42000;5;1032;1757;
set20;20;70;50;20;8;15881;15600;231;50;20;1;102;15712;42000;11;748;1932;
