set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set4;1;100;10;20;8;15111;15111;0;0;20;0;102;15103;42000;0;868;1941;
set4;2;100;10;20;8;15478;15478;0;0;20;0;1;15478;42000;0;1057;1941;
set4;3;100;10;20;8;15105;15105;0;0;20;0;1;15105;42000;0;822;1917;
set4;4;100;10;20;8;15610;15568;42;0;20;0;102;15587;42000;2;729;1970;
set4;5;100;10;20;8;15925;15904;21;0;20;0;1;15923;42000;1;898;1989;
set4;6;100;10;20;8;15538;15538;0;0;20;0;1;15538;42000;0;764;1969;
set4;7;100;10;20;8;15556;15514;42;0;20;0;1;15553;42000;2;961;1946;
set4;8;100;10;20;8;16160;16160;0;0;20;0;102;16157;42000;0;947;2034;
set4;9;100;10;20;8;16423;16413;0;10;20;1;102;16413;42000;0;717;2019;
set4;10;100;10;20;8;16359;16338;21;0;20;0;1;16357;42000;1;941;2001;
set4;11;100;10;20;8;15853;15853;0;0;20;0;1;15853;42000;0;729;1971;
set4;12;100;10;20;8;16198;16198;0;0;20;0;1;16198;42000;0;918;1982;
set4;13;100;10;20;8;16475;16402;63;10;20;1;102;16457;42000;3;831;2017;
set4;14;100;10;20;8;15907;15907;0;0;20;0;1;15907;42000;0;1001;1989;
set4;15;100;10;20;8;15424;15424;0;0;20;0;1;15424;42000;0;987;1909;
set4;16;100;10;20;8;14106;14106;0;0;20;0;1;14106;42000;0;912;1840;
set4;17;100;10;20;8;16897;16876;21;0;20;0;102;16875;42000;1;691;2057;
set4;18;100;10;20;8;15539;15476;63;0;20;0;102;15528;42000;3;717;1928;
set4;19;100;10;20;8;15265;15265;0;0;20;0;1;15265;42000;0;976;1880;
set4;20;100;10;20;8;16406;16406;0;0;20;0;102;16397;42000;0;863;2032;
