set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set19;1;75;10;20;45;16080;16040;0;40;20;4;1;16040;42000;0;756;1228;
set19;2;75;10;20;45;16215;16165;0;50;20;5;1;16161;42000;0;486;1257;
set19;3;75;10;20;45;14984;14923;21;40;20;4;102;14935;42000;1;780;1172;
set19;4;75;10;20;45;15178;15148;0;30;20;3;102;15148;42000;0;776;1150;
set19;5;75;10;20;45;15409;15399;0;10;20;1;102;15392;42000;0;923;1229;
set19;6;75;10;20;45;13893;13769;84;40;20;4;102;13817;42000;4;454;1029;
set19;7;75;10;20;45;15039;14989;0;50;20;5;102;14957;42000;0;419;1169;
set19;8;75;10;20;45;13882;13841;21;20;20;2;102;13859;42000;1;984;1053;
set19;9;75;10;20;45;14399;14327;42;30;20;3;102;14356;42000;2;674;1117;
set19;10;75;10;20;45;16855;16690;105;60;20;6;102;16745;42000;5;591;1296;
set19;11;75;10;20;45;14811;14761;0;50;20;5;102;14746;42000;0;753;1123;
set19;12;75;10;20;45;16552;16428;84;40;20;4;102;16478;42000;4;568;1296;
set19;13;75;10;20;45;15744;15662;42;40;20;4;102;15671;42000;2;716;1220;
set19;14;75;10;20;45;15775;15745;0;30;20;3;102;15735;42000;0;798;1233;
set19;15;75;10;20;45;15575;15555;0;20;20;2;102;15538;42000;0;680;1228;
set19;16;75;10;20;45;16148;16035;63;50;20;5;102;16085;42000;3;609;1265;
set19;17;75;10;20;45;14290;14270;0;20;20;2;102;14261;42000;0;746;1127;
set19;18;75;10;20;45;16572;16427;105;40;20;4;1;16502;42000;5;486;1266;
set19;19;75;10;20;45;16011;15950;21;40;20;4;102;15966;42000;1;677;1224;
set19;20;75;10;20;45;17266;17124;42;100;20;10;1;17116;42000;2;522;1354;
