set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set14;1;20;10;20;10;16527;15209;1218;100;20;10;1;14863;42000;58;378;1787;
set14;2;20;10;20;10;16285;15430;735;120;20;12;102;15335;42000;35;264;1852;
set14;3;20;10;20;10;17389;15841;1428;120;20;12;102;16252;42000;68;142;1892;
set14;4;20;10;20;10;18797;16462;2205;130;20;13;102;16883;42000;105;160;1916;
set14;5;20;10;20;10;15081;14435;546;100;20;10;102;14295;42000;26;366;1748;
set14;6;20;10;20;10;13877;13211;546;120;20;12;1;13055;42000;26;411;1665;
set14;7;20;10;20;10;16809;15124;1575;110;20;11;102;15673;42000;75;346;1815;
set14;8;20;10;20;10;16864;14813;1911;140;20;14;102;15198;42000;91;296;1812;
set14;9;20;10;20;10;16049;15800;189;60;20;6;102;15429;42000;9;415;1901;
set14;10;20;10;20;10;15772;15387;315;70;20;7;1;15231;42000;15;563;1872;
set14;11;20;10;20;10;15189;13924;1155;110;20;11;102;13921;42000;55;376;1727;
set14;12;20;10;20;10;15680;14981;609;90;20;9;102;14781;42000;29;473;1828;
set14;13;20;10;20;10;15707;14630;987;90;20;9;102;14408;42000;47;265;1758;
set14;14;20;10;20;10;17671;14487;3024;160;20;16;102;15446;42000;144;90;1748;
set14;15;20;10;20;10;15038;14924;84;30;20;3;102;14956;42000;4;810;1842;
set14;16;20;10;20;10;16460;16033;357;70;20;7;102;15807;42000;17;375;1926;
set14;17;20;10;20;10;15738;15166;462;110;20;11;102;15009;42000;22;423;1853;
set14;18;20;10;20;10;16344;15404;840;100;20;10;102;15202;42000;40;316;1843;
set14;19;20;10;20;10;17279;15435;1764;80;20;8;102;15496;42000;84;408;1818;
set14;20;20;10;20;10;16014;15209;735;70;20;7;102;15051;42000;35;383;1821;
