set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set15;1;20;10;20;20;16974;16453;441;80;20;8;102;16430;42000;21;424;1763;
set15;2;20;10;20;20;16656;16051;525;80;20;8;102;15747;42000;25;450;1695;
set15;3;20;10;20;20;15827;15547;210;70;20;7;102;15219;42000;10;555;1686;
set15;4;20;10;20;20;17738;16118;1470;150;20;15;102;16236;42000;70;83;1691;
set15;5;20;10;20;20;14933;14548;315;70;20;7;102;14540;42000;15;627;1599;
set15;6;20;10;20;20;14398;14295;63;40;20;4;1;14217;42000;3;562;1606;
set15;7;20;10;20;20;17511;16852;609;50;20;5;102;16617;42000;29;482;1791;
set15;8;20;10;20;20;16774;16232;462;80;20;8;1;15814;42000;22;467;1717;
set15;9;20;10;20;20;16604;15841;693;70;20;7;102;15653;42000;33;380;1701;
set15;10;20;10;20;20;18616;15756;2730;130;20;13;102;16659;42000;130;111;1676;
set15;11;20;10;20;20;14175;14009;126;40;20;4;102;14027;42000;6;620;1583;
set15;12;20;10;20;20;16193;15578;525;90;20;9;102;15288;42000;25;407;1691;
set15;13;20;10;20;20;16606;15981;525;100;20;10;102;15859;42000;25;283;1726;
set15;14;20;10;20;20;13988;13552;336;100;20;10;102;13590;42000;16;477;1489;
set15;15;20;10;20;20;16192;15400;672;120;20;12;102;14929;42000;32;373;1645;
set15;16;20;10;20;20;17879;16478;1281;120;20;12;102;16422;42000;61;252;1738;
set15;17;20;10;20;20;18198;16377;1701;120;20;12;102;16921;42000;81;296;1732;
set15;18;20;10;20;20;16148;15732;336;80;20;8;102;15615;42000;16;513;1672;
set15;19;20;10;20;20;18503;16283;2100;120;20;12;102;16865;42000;100;296;1735;
set15;20;20;10;20;20;16253;15491;672;90;20;9;102;15403;42000;32;403;1674;
