set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set16;1;20;10;20;50;16696;15808;798;90;19;9;102;15583;42000;38;491;1131;
set16;2;20;10;20;50;14492;13910;462;120;20;12;102;13945;42000;22;353;942;
set16;3;20;10;20;50;18194;16330;1764;100;19;10;102;16173;42000;84;343;1139;
set16;4;20;10;20;50;14516;14226;210;80;20;8;1;14190;42000;10;747;948;
set16;5;20;10;20;50;15179;14733;336;110;20;11;1;14653;42000;16;467;1004;
set16;6;20;10;20;50;17261;15922;1239;100;19;10;102;15823;42000;59;303;1097;
set16;7;20;10;20;50;15378;15045;273;60;20;6;102;14982;42000;13;333;1064;
set16;8;20;10;20;50;16196;14804;1302;90;19;9;102;14672;42000;62;242;1042;
set16;9;20;10;20;50;14675;14237;378;60;20;6;102;14162;42000;18;457;964;
set16;10;20;10;20;50;18452;14291;4011;150;19;15;102;15418;42000;191;103;978;
set16;11;20;10;20;50;17122;15362;1680;80;18;8;102;14925;42000;80;241;1089;
set16;12;20;10;20;50;20161;15778;4263;120;18;12;102;16795;42000;203;92;1106;
set16;13;20;10;20;50;14706;13925;651;130;20;13;102;13851;42000;31;284;902;
set16;14;20;10;20;50;16344;15067;1197;80;18;8;102;14288;42000;57;516;1044;
set16;15;20;10;20;50;16255;15429;756;70;20;7;102;15603;42000;36;399;1072;
set16;16;20;10;20;50;18284;16586;1638;60;18;6;102;15828;42000;78;431;1150;
set16;17;20;10;20;50;21698;12779;8799;120;15;12;102;15244;42000;419;44;916;
set16;18;20;10;20;50;16404;15537;777;90;19;9;102;14901;42000;37;370;1095;
set16;19;20;10;20;50;17352;15709;1533;110;19;11;102;15421;42000;73;279;1101;
set16;20;20;10;20;50;17932;15112;2730;90;18;9;1;15025;42000;130;262;1035;
