set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set99;1;200;0;200;0;16768;16768;0;0;20;18;1;16768;42000;0;5377;2223;
set99;2;200;0;200;0;15654;15654;0;0;20;16;1;15654;42000;0;5078;2122;
set99;3;200;0;200;0;13379;13379;0;0;20;17;1;13379;42000;0;5477;1923;
set99;4;200;0;200;0;15436;15436;0;0;20;15;1;15436;42000;0;4873;2127;
set99;5;200;0;200;0;15304;15304;0;0;20;15;1;15304;42000;0;4874;2126;
set99;6;200;0;200;0;14916;14916;0;0;20;16;1;14916;42000;0;5167;2033;
set99;7;200;0;200;0;12997;12997;0;0;20;17;1;12997;42000;0;5537;1863;
set99;8;200;0;200;0;15021;15021;0;0;20;15;1;15021;42000;0;4941;2059;
set99;9;200;0;200;0;16132;16132;0;0;20;17;1;16132;42000;0;5260;2140;
set99;10;200;0;200;0;15272;15272;0;0;20;14;1;15272;42000;0;4707;2093;
set99;11;200;0;200;0;16045;16045;0;0;20;16;1;16045;42000;0;5069;2131;
set99;12;200;0;200;0;16607;16607;0;0;20;16;1;16607;42000;0;5015;2185;
set99;13;200;0;200;0;16731;16731;0;0;20;18;1;16731;42000;0;5379;2221;
set99;14;200;0;200;0;16046;16046;0;0;20;18;1;16046;42000;0;5456;2144;
set99;15;200;0;200;0;15638;15638;0;0;20;18;1;15638;42000;0;5463;2137;
set99;16;200;0;200;0;14624;14624;0;0;20;17;1;14624;42000;0;5383;2017;
set99;17;200;0;200;0;14982;14982;0;0;20;16;1;14982;42000;0;5158;2042;
set99;18;200;0;200;0;16068;16068;0;0;20;17;1;16068;42000;0;5262;2138;
set99;19;200;0;200;0;17005;17005;0;0;20;16;1;17005;42000;0;4951;2249;
set99;20;200;0;200;0;16969;16969;0;0;20;16;1;16969;42000;0;4971;2229;
