set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set18;1;20;50;20;40;17880;16606;924;350;20;7;102;16689;42000;44;111;1388;
set18;2;20;50;20;40;15918;14628;840;450;20;9;102;14468;42000;40;294;1194;
set18;3;20;50;20;40;16253;15131;672;450;20;9;102;14928;42000;32;319;1236;
set18;4;20;50;20;40;16101;15612;189;300;20;6;102;15317;42000;9;532;1304;
set18;5;20;50;20;40;15984;15054;630;300;20;6;102;14848;42000;30;443;1262;
set18;6;20;50;20;40;17211;15984;777;450;20;9;102;16198;42000;37;316;1345;
set18;7;20;50;20;40;16573;14524;1449;600;20;12;102;14743;42000;69;159;1168;
set18;8;20;50;20;40;15827;15073;504;250;20;5;102;15030;42000;24;523;1257;
set18;9;20;50;20;40;18497;15477;2520;500;20;10;102;16504;42000;120;167;1289;
set18;10;20;50;20;40;15890;15199;441;250;20;5;102;15207;42000;21;454;1262;
set18;11;20;50;20;40;15298;14888;210;200;20;4;102;14625;42000;10;612;1228;
set18;12;20;50;20;40;17938;16217;1071;650;20;13;11;16389;42000;51;124;1323;
set18;13;20;50;20;40;15829;14337;1092;400;20;8;102;14396;42000;52;314;1167;
set18;14;20;50;20;40;14643;14522;21;100;20;2;102;14495;42000;1;656;1208;
set18;15;20;50;20;40;17249;14360;2289;600;20;12;102;15192;42000;109;181;1140;
set18;16;20;50;20;40;15330;15033;147;150;20;3;102;15065;42000;7;611;1278;
set18;17;20;50;20;40;14999;14639;210;150;20;3;102;14375;42000;10;641;1204;
set18;18;20;50;20;40;16768;15906;462;400;20;8;102;15635;42000;22;296;1302;
set18;19;20;50;20;40;14267;14025;42;200;20;4;102;13862;42000;2;697;1169;
set18;20;20;50;20;40;17626;16165;861;600;20;12;102;16338;42000;41;183;1361;
