set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set12;1;20;10;100;8;16522;16412;0;110;20;11;102;16409;42000;0;784;2003;
set12;2;20;10;100;8;14757;14687;0;70;20;7;1;14687;42000;0;970;1852;
set12;3;20;10;100;8;14609;14498;21;90;20;9;102;14516;42000;1;1020;1864;
set12;4;20;10;100;8;13735;13675;0;60;20;6;1;13675;42000;0;1077;1792;
set12;5;20;10;100;8;15408;15277;21;110;20;11;102;15296;42000;1;1072;1924;
set12;6;20;10;100;8;14611;14561;0;50;20;5;102;14556;42000;0;963;1845;
set12;7;20;10;100;8;15514;15403;21;90;20;9;102;15414;42000;1;1076;1968;
set12;8;20;10;100;8;14179;14016;63;100;20;10;102;14053;42000;3;1024;1846;
set12;9;20;10;100;8;15595;15514;21;60;20;6;102;15531;42000;1;1127;1978;
set12;10;20;10;100;8;16178;16088;0;90;20;9;1;16088;42000;0;938;2012;
set12;11;20;10;100;8;14931;14830;21;80;20;8;102;14844;42000;1;1089;1875;
set12;12;20;10;100;8;15105;14994;21;90;20;9;102;15012;42000;1;1036;1939;
set12;13;20;10;100;8;16184;16094;0;90;20;9;102;16094;42000;0;1036;2029;
set12;14;20;10;100;8;16047;15977;0;70;20;7;102;15977;42000;0;867;2000;
set12;15;20;10;100;8;15985;15865;0;120;20;12;1;15865;42000;0;933;1980;
set12;16;20;10;100;8;15670;15528;42;100;20;10;102;15556;42000;2;910;1930;
set12;17;20;10;100;8;16276;16186;0;90;20;9;1;16186;42000;0;958;1983;
set12;18;20;10;100;8;15809;15728;21;60;20;6;102;15745;42000;1;910;1952;
set12;19;20;10;100;8;13627;13536;21;70;20;7;102;13553;42000;1;984;1780;
set12;20;20;10;100;8;15763;15683;0;80;20;8;1;15683;42000;0;970;1951;
