set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set11;1;20;10;50;8;14885;14512;273;100;20;10;102;14541;42000;13;404;1844;
set11;2;20;10;50;8;14384;14343;21;20;20;2;102;14347;42000;1;748;1872;
set11;3;20;10;50;8;15096;14807;189;100;20;10;102;14694;42000;9;448;1876;
set11;4;20;10;50;8;15345;15150;105;90;20;9;102;15197;42000;5;402;1919;
set11;5;20;10;50;8;15176;14990;126;60;20;6;102;14953;42000;6;848;1880;
set11;6;20;10;50;8;16899;16745;84;70;20;7;102;16753;42000;4;623;2072;
set11;7;20;10;50;8;16608;16309;189;110;20;11;102;16358;42000;9;473;2008;
set11;8;20;10;50;8;15811;15532;189;90;20;9;102;15527;42000;9;365;1943;
set11;9;20;10;50;8;16814;16524;210;80;20;8;102;16490;42000;10;570;2062;
set11;10;20;10;50;8;16146;15970;126;50;20;5;102;16006;42000;6;539;1986;
set11;11;20;10;50;8;16285;16111;84;90;20;9;102;15982;42000;4;341;1984;
set11;12;20;10;50;8;15149;15028;21;100;20;10;102;14933;42000;1;660;1929;
set11;13;20;10;50;8;16013;15880;63;70;20;7;102;15870;42000;3;620;1993;
set11;14;20;10;50;8;15239;15115;84;40;20;4;102;15161;42000;4;862;1913;
set11;15;20;10;50;8;15453;15019;294;140;20;14;102;15002;42000;14;223;1921;
set11;16;20;10;50;8;17020;16657;273;90;20;9;102;16628;42000;13;442;2069;
set11;17;20;10;50;8;14511;14327;84;100;20;10;102;14322;42000;4;650;1834;
set11;18;20;10;50;8;15845;15274;441;130;20;13;1;15430;42000;21;359;1919;
set11;19;20;10;50;8;15704;15404;210;90;20;9;102;15441;42000;10;621;1919;
set11;20;20;10;50;8;15668;15096;462;110;20;11;102;15171;42000;22;247;1920;
