set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set5;1;20;5;20;8;16315;15011;1239;65;20;13;102;15130;42000;59;98;1863;
set5;2;20;5;20;8;16042;14896;1071;75;20;15;102;15023;42000;51;258;1857;
set5;3;20;5;20;8;15803;15034;714;55;20;11;102;14823;42000;34;272;1858;
set5;4;20;5;20;8;17820;16505;1260;55;20;11;102;16475;42000;60;363;1985;
set5;5;20;5;20;8;17977;16179;1743;55;20;11;102;16131;42000;83;161;1910;
set5;6;20;5;20;8;16149;15506;588;55;20;11;102;15335;42000;28;348;1921;
set5;7;20;5;20;8;16525;15488;987;50;20;10;102;15483;42000;47;439;1902;
set5;8;20;5;20;8;15599;14410;1134;55;20;11;102;14311;42000;54;214;1787;
set5;9;20;5;20;8;15929;15564;315;50;20;10;102;14900;42000;15;327;1906;
set5;10;20;5;20;8;17132;15759;1323;50;20;10;102;15693;42000;63;355;1891;
set5;11;20;5;20;8;15405;14856;504;45;20;9;102;14828;42000;24;305;1809;
set5;12;20;5;20;8;14066;13491;525;50;20;10;102;13199;42000;25;373;1737;
set5;13;20;5;20;8;16262;15723;504;35;20;7;102;15732;42000;24;412;1924;
set5;14;20;5;20;8;16319;15855;399;65;20;13;102;15467;42000;19;274;1924;
set5;15;20;5;20;8;14922;14651;231;40;20;8;102;14422;42000;11;624;1863;
set5;16;20;5;20;8;16373;14460;1848;65;20;13;102;14913;42000;88;283;1797;
set5;17;20;5;20;8;16891;15477;1344;70;20;14;102;15507;42000;64;259;1901;
set5;18;20;5;20;8;16877;16050;777;50;20;10;102;15876;42000;37;341;1956;
set5;19;20;5;20;8;17224;15752;1407;65;20;13;102;15820;42000;67;211;1919;
set5;20;20;5;20;8;20405;12802;7518;85;20;17;102;16570;42000;358;23;1669;
