set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set0;1;20;10;20;8;17240;14958;2142;140;20;14;102;15524;42000;102;137;1875;
set0;2;20;10;20;8;15088;14892;126;70;20;7;102;14627;42000;6;459;1875;
set0;3;20;10;20;8;14797;14662;105;30;20;3;102;14519;42000;5;707;1842;
set0;4;20;10;20;8;16280;15832;378;70;20;7;1;15536;42000;18;554;1925;
set0;5;20;10;20;8;17189;16312;777;100;20;10;1;16009;42000;37;431;1940;
set0;6;20;10;20;8;18097;15384;2583;130;20;13;102;16484;42000;123;104;1909;
set0;7;20;10;20;8;15224;14556;588;80;20;8;102;14153;42000;28;354;1807;
set0;8;20;10;20;8;16364;16053;231;80;20;8;102;15943;42000;11;266;1977;
set0;9;20;10;20;8;16943;16685;168;90;20;9;1;16470;42000;8;355;2039;
set0;10;20;10;20;8;15724;13904;1680;140;20;14;102;14079;42000;80;209;1792;
set0;11;20;10;20;8;16601;16049;462;90;20;9;102;16118;42000;22;446;1980;
set0;12;20;10;20;8;18072;14687;3255;130;20;13;102;15773;42000;155;107;1830;
set0;13;20;10;20;8;18699;16332;2247;120;20;12;102;16774;42000;107;111;1962;
set0;14;20;10;20;8;16915;14612;2163;140;20;14;102;14712;42000;103;172;1794;
set0;15;20;10;20;8;16481;15500;861;120;20;12;102;15349;42000;41;289;1913;
set0;16;20;10;20;8;16108;15128;840;140;20;14;102;14878;42000;40;204;1879;
set0;17;20;10;20;8;17893;16177;1596;120;20;12;102;16595;42000;76;215;1958;
set0;18;20;10;20;8;16060;15289;651;120;20;12;1;14767;42000;31;328;1869;
set0;19;20;10;20;8;18465;16916;1449;100;20;10;1;17363;42000;69;179;2026;
set0;20;20;10;20;8;16230;15625;525;80;20;8;102;15489;42000;25;553;1945;
