set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set6;1;20;20;20;8;16731;16129;462;140;20;7;1;16067;42000;22;400;1968;
set6;2;20;20;20;8;15924;15282;462;180;20;9;102;15000;42000;22;473;1894;
set6;3;20;20;20;8;14900;14839;21;40;20;2;1;14685;42000;1;905;1876;
set6;4;20;20;20;8;17195;16530;525;140;20;7;102;16473;42000;25;544;1983;
set6;5;20;20;20;8;18201;15903;2058;240;20;12;102;16302;42000;98;138;1927;
set6;6;20;20;20;8;17950;14395;3255;300;20;15;102;15503;42000;155;123;1787;
set6;7;20;20;20;8;15687;13875;1512;300;20;15;102;14113;42000;72;67;1780;
set6;8;20;20;20;8;17285;16390;735;160;20;8;1;16576;42000;35;418;1979;
set6;9;20;20;20;8;17214;16383;651;180;20;9;102;16200;42000;31;305;1967;
set6;10;20;20;20;8;15706;15250;336;120;20;6;102;15140;42000;16;502;1910;
set6;11;20;20;20;8;15097;14417;420;260;20;13;102;14248;42000;20;204;1855;
set6;12;20;20;20;8;15505;15049;336;120;20;6;102;14949;42000;16;388;1901;
set6;13;20;20;20;8;16162;15331;651;180;20;9;102;15078;42000;31;446;1858;
set6;14;20;20;20;8;14863;13886;777;200;20;10;1;13399;42000;37;509;1723;
set6;15;20;20;20;8;18258;17173;945;140;20;7;102;16987;42000;45;441;1996;
set6;16;20;20;20;8;15418;14838;420;160;20;8;102;14555;42000;20;482;1840;
set6;17;20;20;20;8;15480;15253;147;80;20;4;102;15111;42000;7;505;1877;
set6;18;20;20;20;8;14445;14240;105;100;20;5;102;14002;42000;5;658;1814;
set6;19;20;20;20;8;14954;14206;588;160;20;8;102;14204;42000;28;286;1786;
set6;20;20;20;20;8;15209;14877;252;80;20;4;1;14669;42000;12;766;1847;
