set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set3;1;80;10;20;8;19135;19012;63;60;20;6;102;19035;42000;3;516;2259;
set3;2;80;10;20;8;14533;14482;21;30;20;3;102;14496;42000;1;726;1842;
set3;3;80;10;20;8;15858;15827;21;10;20;1;102;15844;42000;1;809;1954;
set3;4;80;10;20;8;16432;16360;42;30;20;3;102;16370;42000;2;643;2024;
set3;5;80;10;20;8;15469;15429;0;40;20;4;1;15425;42000;0;827;1929;
set3;6;80;10;20;8;16219;16148;21;50;20;5;1;16151;42000;1;828;1978;
set3;7;80;10;20;8;14099;14079;0;20;20;2;102;14079;42000;0;959;1810;
set3;8;80;10;20;8;15118;15078;0;40;20;4;102;15073;42000;0;779;1920;
set3;9;80;10;20;8;14768;14738;0;30;20;3;102;14717;42000;0;597;1869;
set3;10;80;10;20;8;16077;15964;63;50;20;5;102;15994;42000;3;572;1989;
set3;11;80;10;20;8;14494;14463;21;10;20;1;102;14466;42000;1;764;1871;
set3;12;80;10;20;8;16240;16168;42;30;20;3;102;16193;42000;2;589;2032;
set3;13;80;10;20;8;15634;15614;0;20;20;2;102;15605;42000;0;982;1990;
set3;14;80;10;20;8;15188;15158;0;30;20;3;102;15150;42000;0;633;1901;
set3;15;80;10;20;8;15530;15490;0;40;20;4;102;15465;42000;0;860;1968;
set3;16;80;10;20;8;15718;15698;0;20;20;2;102;15698;42000;0;914;1983;
set3;17;80;10;20;8;14315;14315;0;0;20;0;102;14310;42000;0;976;1833;
set3;18;80;10;20;8;14392;14342;0;50;20;5;102;14330;42000;0;804;1847;
set3;19;80;10;20;8;14997;14935;42;20;20;2;102;14960;42000;2;656;1913;
set3;20;80;10;20;8;15608;15567;21;20;20;2;102;15578;42000;1;987;1952;
