set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set17;1;70;10;20;40;15167;15106;21;40;20;4;102;15105;42000;1;698;1288;
set17;2;70;10;20;40;14418;14347;21;50;20;5;102;14334;42000;1;711;1208;
set17;3;70;10;20;40;15949;15869;0;80;20;8;102;15819;42000;0;549;1324;
set17;4;70;10;20;40;16987;16925;42;20;20;2;102;16965;42000;2;619;1425;
set17;5;70;10;20;40;15416;15416;0;0;20;0;1;15416;42000;0;1162;1287;
set17;6;70;10;20;40;15111;15039;42;30;20;3;102;15033;42000;2;906;1273;
set17;7;70;10;20;40;16026;15995;21;10;20;1;102;16001;42000;1;906;1327;
set17;8;70;10;20;40;15804;15712;42;50;20;5;1;15694;42000;2;778;1347;
set17;9;70;10;20;40;14380;14339;21;20;20;2;102;14315;42000;1;546;1208;
set17;10;70;10;20;40;15542;15367;105;70;20;7;102;15398;42000;5;381;1312;
set17;11;70;10;20;40;14085;14055;0;30;20;3;102;14032;42000;0;756;1159;
set17;12;70;10;20;40;16148;16067;21;60;20;6;102;16063;42000;1;536;1372;
set17;13;70;10;20;40;15007;14906;21;80;20;8;1;14908;42000;1;595;1271;
set17;14;70;10;20;40;14359;14339;0;20;20;2;102;14320;42000;0;854;1207;
set17;15;70;10;20;40;16585;16411;84;90;20;9;1;16408;42000;4;569;1387;
set17;16;70;10;20;40;14350;14268;42;40;20;4;1;14265;42000;2;859;1194;
set17;17;70;10;20;40;16524;16411;63;50;20;5;102;16427;42000;3;637;1370;
set17;18;70;10;20;40;15025;14891;84;50;20;5;1;14938;42000;4;706;1260;
set17;19;70;10;20;40;16116;15961;105;50;20;5;1;16026;42000;5;843;1352;
set17;20;70;10;20;40;14776;14726;0;50;20;5;1;14716;42000;0;826;1224;
