set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set13;1;20;10;20;2;14333;13969;294;70;20;7;102;14013;42000;14;462;1918;
set13;2;20;10;20;2;16122;14920;1092;110;20;11;1;14745;42000;52;446;1938;
set13;3;20;10;20;2;16268;15549;609;110;20;11;102;15566;42000;29;425;2034;
set13;4;20;10;20;2;16012;15157;735;120;20;12;102;15023;42000;35;323;1984;
set13;5;20;10;20;2;15718;14422;1176;120;20;12;102;14745;42000;56;326;1919;
set13;6;20;10;20;2;17224;16220;924;80;20;8;1;16118;42000;44;254;2075;
set13;7;20;10;20;2;14753;14419;294;40;20;4;102;14377;42000;14;514;1932;
set13;8;20;10;20;2;15468;14111;1197;160;20;16;102;14466;42000;57;83;1942;
set13;9;20;10;20;2;13803;13440;273;90;20;9;102;13329;42000;13;574;1877;
set13;10;20;10;20;2;19358;16384;2814;160;20;16;1;17370;42000;134;135;2096;
set13;11;20;10;20;2;16849;16183;546;120;20;12;1;16328;42000;26;276;2108;
set13;12;20;10;20;2;15886;15606;210;70;20;7;1;15485;42000;10;566;2055;
set13;13;20;10;20;2;16296;13573;2583;140;20;14;102;14697;42000;123;148;1836;
set13;14;20;10;20;2;18732;15536;3066;130;20;13;102;16144;42000;146;165;1989;
set13;15;20;10;20;2;15263;15025;168;70;20;7;102;14832;42000;8;515;2008;
set13;16;20;10;20;2;17264;16720;504;40;20;4;102;16557;42000;24;717;2119;
set13;17;20;10;20;2;16781;15506;1155;120;20;12;102;15636;42000;55;357;2001;
set13;18;20;10;20;2;16724;15836;798;90;20;9;102;15914;42000;38;488;2043;
set13;19;20;10;20;2;17108;16389;609;110;20;11;102;16276;42000;29;286;2103;
set13;20;20;10;20;2;15983;15568;315;100;20;10;102;15307;42000;15;412;2061;
