set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set1;1;40;10;20;8;18065;17084;861;120;20;12;1;17117;42000;41;335;2058;
set1;2;40;10;20;8;15902;15413;399;90;20;9;102;15526;42000;19;210;1909;
set1;3;40;10;20;8;16355;15773;462;120;20;12;102;15771;42000;22;320;1954;
set1;4;40;10;20;8;15808;15465;273;70;20;7;102;15437;42000;13;536;1925;
set1;5;40;10;20;8;15690;15315;315;60;20;6;102;15264;42000;15;493;1905;
set1;6;40;10;20;8;16239;15634;525;80;20;8;102;15457;42000;25;417;1912;
set1;7;40;10;20;8;14220;14149;21;50;20;5;1;14061;42000;1;576;1823;
set1;8;40;10;20;8;15900;15504;336;60;20;6;1;15408;42000;16;652;1923;
set1;9;40;10;20;8;15918;15272;546;100;20;10;1;15441;42000;26;333;1922;
set1;10;40;10;20;8;15128;14995;63;70;20;7;102;14927;42000;3;350;1874;
set1;11;40;10;20;8;16556;15616;840;100;20;10;102;15721;42000;40;212;1941;
set1;12;40;10;20;8;17131;15373;1638;120;20;12;102;15887;42000;78;178;1883;
set1;13;40;10;20;8;15516;15120;336;60;20;6;102;15024;42000;16;444;1918;
set1;14;40;10;20;8;15206;14823;273;110;20;11;102;14729;42000;13;392;1858;
set1;15;40;10;20;8;15118;14902;126;90;20;9;102;14704;42000;6;509;1897;
set1;16;40;10;20;8;16234;15870;294;70;20;7;102;15791;42000;14;311;1972;
set1;17;40;10;20;8;15414;15018;336;60;20;6;102;14905;42000;16;560;1875;
set1;18;40;10;20;8;13952;13797;105;50;20;5;102;13745;42000;5;520;1812;
set1;19;40;10;20;8;15941;15755;126;60;20;6;102;15664;42000;6;497;1958;
set1;20;40;10;20;8;15141;14945;126;70;20;7;1;14868;42000;6;619;1894;
